BronxB 001 	Protium wanningianum
BronxB 002 	Protium sp. nov. 8
BronxB 003 	Protium pittieri
BronxB 004 	Protium crassipetalum
BronxB 005 	Tetragastris hostmanii
BronxB 006 	Protium panamense
BronxB 007 	Protium pallidum
BronxB 008 	Protium pallidum
BronxB 009 	Protium paniculatum
BronxB 010 	Bursera cinerea
BronxB 011 	Protium tenuifolium
BronxB 012 	Protium sp. nov. 3 aff. P. warmingianum
BronxB 013 	Protium nodulosum
BronxB 015 	Protium neglectum
BronxB 016 	Bursera hollikii
BronxB 017 	Bursera lunanii
BronxB 018 	Protium madagascariense
BronxB 019 	Canarium pulchrebracteatun
BronxB 020 	Canarium pilicarpum
BronxB 021 	Protium subserratum
BronxB 022 	Protium nitidifolium
BronxB 023 	Protium nervosum
BronxB 024 	Protium klugii
BronxB 025 	Canarium planifolium
BronxB 026 	Bursera aromatica
BronxB 027 	Protium polybotryum
BronxB 028 	Protium glabrurm
BronxB 030 	Protium rynchophyllum
BronxB 031 	Protium tovarense
BronxB 032 	Protium llanorum
BronxB 033 	Protium mcleodii
BronxB 034 	Protium crenatum
BronxB 035 	Protium multiramiflorum
BronxB 036 	Protium sp. nov. 7
BronxB 037 	Protium sp. nov. aff. P. montanum
BronxB 038 	Protium sp. nov. 10
BronxB 039 	Protium subserratum
BronxB 040 	Protium subserratum
BronxB 041 	Bursera inversa
BronxB 042 	Protium strumosum
BronxB 043 	Protium sagotianum
BronxB 045 	Protium sp. nov. 14
BronxB 046 	Protium occultum
BronxB 047 	Protium demerarense
BronxB 048 	Protium sp. nov. 9
BronxB 049 	Protium subserratum "lobo"
BronxB 050 	Protium reticulatum
BronxB 051 	Protium ravenii
BronxB 052 	Bursera aromatica
BronxB 053 	Protium divaricatum
BronxB 054 	Protium gallosum
BronxB 055 	Protium krukovii
BronxB 056 	Protium sp. nov. 6
BronxB 057 	Protium sp. nov. 4
BronxB 058 	Protium sp. nov. 11
BronxB 014 	Canarium betamporae
BronxB 029 	Protium inodorum
BronxB 044 	Protium alvarezianum
BronxB 059 	Protium laxiflorum
BronxB 074 	Protium divaricatum
BronxB 060 	Protium hebetatum
BronxB 061 	Protium plagiocrpium
BronxB 062 	Canarium multiflorum
BronxB 063 	Canarium obtusifolium
BronxB 064 	Protium decandrum
BronxB 065 	Canarium nitidifolium
BronxB 066 	Protium sp. nov. 13
BronxB 067 	Protium morii
BronxB 068 	Protium urophyllidium
BronxB 069 	Protium sp. nov. 5
BronxB 070 	Protium grandifolium
BronxB 071 	Protium puncticulatum
BronxB 072 	Protium glabrescens
BronxB 073 	Canarium scholasticum
BronxB 075 	Protium ferrugineum
BronxB 076 	Canarium galokense
BronxB 077 	Protium sp. nov. 1
BronxB 078 	Protium heptaphyllum
BronxB 079 	Protium nervosum
BronxB 080 	Protium sp. nov. 13
BronxB 081 	Protium nodulosum
BronxB 082 	Protium pittieri
BronxB 083 	Protium copal
BronxB 084 	Protium icicariba
BronxB 085 	Protium subacuminatum
BronxB 086 	Protium guianense
BronxB 087 	Protium subacuminatum
BronxB 088 	Protium icicariba
BronxB 089 	Protium sprumanum
BronxB 090 	Protium unifolioiatum
BronxB 091 	Protium serratum
BronxB 092 	Protium heptaphyllum
BronxB 093 	Protium beandou
BronxB 094 	Protium opacum subs. opacum
BronxB 095 	Protium glaziovii
BronxB 096 	Protium glomerulosum
BronxB 097 	Canarium arcuatum
BronxB 098 	Protium obtusifolium
BronxB 099 	Protium sp. nov. 12
BronxB 100 	Bursera glabrifolia
BronxB 101 	Protium sp. nov. aff. P. montanum
BronxB 102 	Protium bahianum
