BronxA 001 	Protium grandifolium
BronxA 002 	Protium ovatum
BronxA 003 	Bursera ovata
BronxA 004 	Bursera shaferi
BronxA 005 	Protium dawsonii
BronxA 006 	Bursera simaruba
BronxA 007 	Protium aracouchini
BronxA 008 	Protium altsonii
BronxA 009 	Bursera gracilipes
BronxA 010 	Bursera gracilipes
BronxA 011 	Bursera cf. inaguensis
BronxA 012 	Bursera gibarensis
BronxA 013 	Bursera glauca
BronxA 014 	Bursera spinescens
BronxA 016 	Protium calanense
BronxA 017 	Bursera ovalifolia
BronxA 018 	Protium copal
BronxA 019 	Protium calanense
BronxA 020 	Bursera ovalifolia
BronxA 021 	Protium aracouchini
BronxA 022 	Bursera shaferi
BronxA 023 	Protium altsonii
BronxA 024 	Protium leptostachyum
BronxA 025 	Protium pilosum
BronxA 026 	Tetragastris breviacuminata
BronxA 027 	Crepidospermum atlanticum
BronxA 028 	Bursera inaguensis
BronxA 029 	Bursera simaruba
BronxA 031 	Protium ptarianum
BronxA 032 	Protium rubrum
BronxA 033 	Protium confusum
BronxA 034 	Bursera lunanii
BronxA 035 	Protium gallicum
BronxA 036 	Protium altsonii
BronxA 037 	Protium elegans
BronxA 038 	Protium cuneatum
BronxA 039	Protium divaricatum subs. krukofii
BronxA 040 	Protium glaucescens
BronxA 041 	Protium guianense
BronxA 042 	Protium giganteum
BronxA 043 	Protium attenuatum
BronxA 044 	Protium trifoliolatum
BronxA 046 	Protium apiculatum
BronxA 047 	Protium camosum
BronxA 048 	Protium carolense
BronxA 049 	Protium connarifolium
BronxA 050 	Dacryodes belemensis
BronxA 051 	Bursera attenuate
BronxA 052 	Tetragastris occhionii
BronxA 053 	Pouteria filipe
BronxA 054 	Pouteria torta
BronxA 055 	Pouteria glomerata
BronxA 056 	Bowdichia nitida
BronxA 057 	Andira macrothrysa
BronxA 062 	Apuleia leiocarpa
BronxA 063 	Diploon cuspidatum
BronxA 015 	Commiphora leptophloeos
BronxA 030 	Protium brasiliense
BronxA 045 	Protium cubense
BronxA 064 	Brosimum guianensis
BronxA 079 	Cordia alliodora
BronxA 094 	Cordia sellowiana
BronxA 112 	Qualea grandiflora
BronxA 127 	Unknown species 1
BronxA 065 	Hymenaea parvifolia
BronxA 066 	Schizolobium amazonicum
BronxA 067 	Brosimum guianensis
BronxA 068 	Hymenaea parvifolia
BronxA 069 	Ocotea sp. 1
BronxA 070 	Apuleia leiocarpa
BronxA 071 	Apuleia leiocarpa
BronxA 072 	Dipteryx ferrea
BronxA 073 	Jacaranda copaia
BronxA 074 	Parkia pendula
BronxA 075 	Cedrela odorata
BronxA 076 	Pouteria coriaceae
BronxA 077 	Clarisia racemosa
BronxA 078 	Eschweilera sp.
BronxA 080 	Eschweilera truncata
BronxA 081 	Tabebuia serratifolia
BronxA 082 	Swartzia jorori
BronxA 083 	Eriotheca globosa
BronxA 084 	Licania cuspidata
BronxA 085 	Protium heptaphyllum
BronxA 086 	Astronium lecointei
BronxA 087 	Walsura sp. 1
BronxA 088 	Dalbergia miscolobium
BronxA 089 	Terminalia oblonga
BronxA 090 	Terminalia oblonga
BronxA 091 	Schefflera morototoni
BronxA 092 	Dipteryx alata
BronxA 093 	Dipteryx ferrea
BronxA 096 	Citronela melliodora
BronxA 098 	Dipteryx odorata
BronxA 099 	Dipteryx odorata
BronxA 100 	Pouteria triloculares
BronxA 101 	Eschweilera fracta
BronxA 102 	Eriotheca globosa
BronxA 103 	Aspidosperma parvifolium
BronxA 104 	Diallium guianensis
BronxA 105 	Clarisia biflora
BronxA 106 	Batocarpus amazonicus
BronxA 107 	Walsura sp. 2
BronxA 108 	Jacaranda copaia
BronxA 109 	Dalbergia miscolobium
BronxA 110 	Aspidosperma parvifolium
BronxA 113 	Miroxylon balsamum
BronxA 114 	Parkia pendula
BronxA 115 	Parkia nitida
BronxA 116 	Diploon cuspidatum
BronxA 117 	Pouteria nutipetala
BronxA 118 	Swartzia jorori
BronxA 119 	Cedrela odorata
BronxA 120 	Brosimum guianensis
BronxA 121 	Ocotea sp. 2
BronxA 122 	Tetragastris altissima
BronxA 123 	Tabebuia serratifolia
BronxA 124 	Nectandra cuspidata
BronxA 125 	Schizolobium amazonicum
BronxA 126 	Bursera simaruba
BronxA 128 	Qualea grandiflora
BronxA 129 	Unknown species 2
BronxA 130 	Parkia nitida
BronxA 131 	Enterolobium sp. 1
BronxA 132 	Unknown species 3
BronxA 133 	Nectandra cuspidata
BronxA 134 	Apuleia leiocarpa
BronxA 135 	Enterolobium sp. 2
BronxA 136 	Parkia nitida
BronxA 137 	Enterolobium sp. 3
BronxA 138 	Erisma sp. 
BronxA 140 	Parkia pendula
BronxA 141 	Parkia nitida
BronxA 142 	Enterolobium sp. 4
BronxA 143 	Parkia pendula
BronxA 144 	Enterolobium sp. 5
BronxA 145 	Parkia nitida
BronxA 146 	Piptadenia sp.
BronxA 147 	Enterolobium sp. 6
BronxA 148 	Enterolobium sp. 7
BronxA 111	Unknown species 4
BronxA 095	Unknown species 5
BronxA 097	Unknown species 6
BronxA 139	Unknown species 7
